id,province,category,score_category,hotel,score_hotel
1,Esmeraldas,Staff,9.1,La Facha Hostal Restaurant Surf,8.4
2,Esmeraldas,Facilities,8.4,La Facha Hostal Restaurant Surf,8.4
3,Esmeraldas,Cleanliness,8.5,La Facha Hostal Restaurant Surf,8.4
4,Esmeraldas,Comfort,8.5,La Facha Hostal Restaurant Surf,8.4
5,Esmeraldas,Value for money,8.6,La Facha Hostal Restaurant Surf,8.4
6,Esmeraldas,Location,9.1,La Facha Hostal Restaurant Surf,8.4
7,Esmeraldas,Free WiFi,7.5,La Facha Hostal Restaurant Surf,8.4
8,Esmeraldas,Staff,9.4,Hotel Casa Arnaldo Esmeraldas,8.9
9,Esmeraldas,Facilities,8.9,Hotel Casa Arnaldo Esmeraldas,8.9
10,Esmeraldas,Cleanliness,9.2,Hotel Casa Arnaldo Esmeraldas,8.9
11,Esmeraldas,Comfort,9.1,Hotel Casa Arnaldo Esmeraldas,8.9
12,Esmeraldas,Value for money,8.6,Hotel Casa Arnaldo Esmeraldas,8.9
13,Esmeraldas,Location,9.5,Hotel Casa Arnaldo Esmeraldas,8.9
14,Esmeraldas,Free WiFi,7.9,Hotel Casa Arnaldo Esmeraldas,8.9
15,Esmeraldas,Staff,9.2,Hotel la Barca,8.8
16,Esmeraldas,Facilities,8.5,Hotel la Barca,8.8
17,Esmeraldas,Cleanliness,8.9,Hotel la Barca,8.8
18,Esmeraldas,Comfort,8.7,Hotel la Barca,8.8
19,Esmeraldas,Value for money,8.6,Hotel la Barca,8.8
20,Esmeraldas,Location,9.4,Hotel la Barca,8.8
21,Esmeraldas,Free WiFi,8.5,Hotel la Barca,8.8
22,Esmeraldas,Staff,9.0,Resort Playa Azul Departamentos frente al mar,9.3
23,Esmeraldas,Facilities,9.2,Resort Playa Azul Departamentos frente al mar,9.3
24,Esmeraldas,Cleanliness,9.3,Resort Playa Azul Departamentos frente al mar,9.3
25,Esmeraldas,Comfort,9.3,Resort Playa Azul Departamentos frente al mar,9.3
26,Esmeraldas,Value for money,8.9,Resort Playa Azul Departamentos frente al mar,9.3
27,Esmeraldas,Location,9.4,Resort Playa Azul Departamentos frente al mar,9.3
28,Esmeraldas,Free WiFi,7.9,Resort Playa Azul Departamentos frente al mar,9.3
29,Esmeraldas,Staff,8.9,Escapaditas a la Playa,8.8
30,Esmeraldas,Facilities,9.1,Escapaditas a la Playa,8.8
31,Esmeraldas,Cleanliness,9.3,Escapaditas a la Playa,8.8
32,Esmeraldas,Comfort,9.3,Escapaditas a la Playa,8.8
33,Esmeraldas,Value for money,9.0,Escapaditas a la Playa,8.8
34,Esmeraldas,Location,8.6,Escapaditas a la Playa,8.8
35,Esmeraldas,Staff,8.7,Hotel Oceanic Lodge,8.5
36,Esmeraldas,Facilities,8.7,Hotel Oceanic Lodge,8.5
37,Esmeraldas,Cleanliness,8.8,Hotel Oceanic Lodge,8.5
38,Esmeraldas,Comfort,9.0,Hotel Oceanic Lodge,8.5
